,Age,Attrition,BusinessTravel,DailtWage,Department,DistanceHome,Education,HourlyWage,JobRole,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
61,38,0,Travel Frequently,653,Research & Development,29,5,50,Laboratory Technician,10,3,9,9
62,50,0,Travel Rarely,989,Research & Development,7,2,43,Research Director,27,3,13,8
63,59,0,Travel Rarely,1435,Sales,25,3,99,Sales Executive,21,16,7,9
64,36,0,Travel Rarely,1223,Research & Development,8,3,59,Healthcare Representative,17,14,12,8
65,55,0,Travel Rarely,836,Research & Development,8,3,33,Manager,5,0,0,2
66,36,0,Travel Frequently,1195,Research & Development,11,3,95,Manufacturing Director,6,5,0,3
67,45,0,Travel Rarely,1339,Research & Development,7,3,59,Research Scientist,1,0,0,0
68,35,0,Travel Frequently,664,Research & Development,1,3,79,Research Scientist,3,2,1,2
69,36,1,Travel Rarely,318,Research & Development,9,3,79,Research Scientist,1,0,0,0
70,59,0,Travel Frequently,1225,Sales,1,1,57,Sales Executive,4,3,1,3
71,29,0,Travel Rarely,1328,Research & Development,2,3,76,Research Scientist,5,4,0,4
72,31,0,Travel Rarely,1082,Research & Development,1,4,87,Research Scientist,1,1,1,0
73,32,0,Travel Rarely,548,Research & Development,1,3,66,Research Scientist,10,4,0,9
74,36,0,Travel Rarely,132,Research & Development,6,3,55,Laboratory Technician,1,0,0,0
75,31,0,Travel Rarely,746,Research & Development,8,4,61,Manufacturing Director,11,7,1,8
76,35,0,Travel Rarely,776,Sales,1,4,32,Sales Executive,15,13,2,8
77,45,0,Travel Rarely,193,Research & Development,6,4,52,Research Director,0,0,0,0
78,37,0,Travel Rarely,397,Research & Development,7,4,30,Research Director,5,2,0,2
79,46,0,Travel Rarely,945,Human Resources,5,2,80,Human Resources,4,2,0,2
80,30,0,Travel Rarely,852,Research & Development,1,1,55,Laboratory Technician,10,8,3,0
81,35,0,Travel Rarely,1214,Research & Development,1,3,30,Research Scientist,6,4,0,4
82,55,0,Travel Rarely,111,Sales,1,2,70,Sales Executive,1,0,1,0
83,38,0,Non-Travel,573,Research & Development,6,3,79,Research Scientist,13,11,1,9
84,34,0,Travel Rarely,1153,Research & Development,1,2,94,Manufacturing Director,5,2,1,3
85,56,0,Travel Rarely,1400,Research & Development,7,3,49,Manufacturing Director,6,4,0,2
86,23,0,Travel Rarely,541,Sales,2,1,62,Sales Representative,0,0,0,0
87,51,0,Travel Rarely,432,Research & Development,9,4,96,Laboratory Technician,4,2,0,3
88,30,0,Travel Rarely,288,Research & Development,2,3,99,Healthcare Representative,11,10,10,8
89,46,1,Travel Rarely,669,Sales,9,2,64,Sales Executive,9,8,4,7
90,40,0,Travel Frequently,530,Research & Development,1,4,78,Healthcare Representative,22,3,11,11
91,51,0,Travel Rarely,632,Sales,21,4,71,Sales Executive,10,7,1,0
92,30,0,Travel Rarely,1334,Sales,4,2,63,Sales Executive,11,8,2,7
93,46,0,Travel Frequently,638,Research & Development,1,3,40,Healthcare Representative,10,9,9,5
94,32,0,Travel Rarely,1093,Sales,6,4,87,Sales Executive,11,8,5,7
95,54,0,Travel Rarely,1217,Research & Development,2,4,60,Research Director,4,3,0,3
96,24,0,Travel Rarely,1353,Sales,3,2,33,Sales Executive,3,2,0,2
97,28,0,Non-Travel,120,Sales,4,3,43,Sales Executive,5,4,0,4
98,58,0,Travel Rarely,682,Sales,10,4,37,Sales Executive,37,10,1,8
99,44,0,Non-Travel,489,Research & Development,23,3,67,Laboratory Technician,3,2,1,2
100,37,1,Travel Rarely,807,Human Resources,6,4,63,Human Resources,3,2,0,2
101,32,0,Travel Rarely,827,Research & Development,1,1,71,Research Scientist,1,0,0,0
102,20,1,Travel Frequently,871,Research & Development,6,3,66,Laboratory Technician,1,0,1,0
103,34,0,Travel Rarely,665,Research & Development,6,4,41,Research Scientist,16,13,2,10
104,37,0,Non-Travel,1040,Research & Development,2,2,100,Healthcare Representative,1,0,0,0
105,59,0,Non-Travel,1420,Human Resources,2,4,32,Manager,3,2,2,2
106,50,0,Travel Frequently,1115,Research & Development,1,3,73,Research Director,8,3,0,7
107,25,1,Travel Rarely,240,Sales,5,3,46,Sales Executive,6,4,0,3
108,25,0,Travel Rarely,1280,Research & Development,7,1,64,Research Scientist,2,2,2,1
109,22,0,Travel Rarely,534,Research & Development,15,3,59,Laboratory Technician,0,0,0,0
110,51,0,Travel Frequently,1456,Research & Development,1,4,30,Healthcare Representative,13,12,12,8
111,34,1,Travel Frequently,658,Research & Development,7,3,66,Laboratory Technician,9,7,0,6
112,54,0,Non-Travel,142,Human Resources,26,3,30,Manager,5,3,4,4
113,24,0,Travel Rarely,1127,Research & Development,18,1,52,Laboratory Technician,5,3,1,2
114,34,0,Travel Rarely,1031,Research & Development,6,4,45,Research Scientist,1,0,0,0
115,37,0,Travel Rarely,1189,Sales,3,3,87,Sales Executive,5,3,1,3
116,34,0,Travel Rarely,1354,Research & Development,5,3,45,Manager,11,10,5,8
117,36,0,Travel Frequently,1467,Sales,11,2,92,Sales Executive,9,7,2,8
118,36,0,Travel Rarely,922,Research & Development,3,2,39,Laboratory Technician,1,0,0,0
119,43,0,Travel Frequently,394,Sales,26,2,92,Manager,25,12,4,12
120,30,0,Travel Frequently,1312,Research & Development,23,3,96,Research Scientist,10,7,0,9
121,33,0,Non-Travel,750,Sales,22,2,95,Sales Executive,7,7,0,7
122,56,1,Travel Rarely,441,Research & Development,14,4,72,Research Scientist,5,4,4,3
123,51,0,Travel Rarely,684,Research & Development,6,3,51,Research Director,20,18,15,15
124,31,1,Travel Rarely,249,Sales,6,4,76,Sales Executive,7,7,7,7
125,26,0,Travel Rarely,841,Research & Development,6,3,46,Research Scientist,5,4,4,3
126,58,1,Travel Rarely,147,Research & Development,23,4,94,Healthcare Representative,40,10,15,6
127,19,1,Travel Rarely,528,Sales,22,1,50,Sales Representative,0,0,0,0
128,22,0,Travel Rarely,594,Research & Development,2,1,100,Laboratory Technician,2,1,2,1
129,49,0,Travel Rarely,470,Research & Development,20,4,96,Manufacturing Director,15,11,5,11
130,43,0,Travel Frequently,957,Research & Development,28,3,72,Research Scientist,3,2,1,2
131,50,0,Travel Frequently,809,Sales,12,3,77,Sales Executive,2,2,2,1
132,31,1,Travel Rarely,542,Sales,20,3,71,Sales Executive,2,2,2,2
133,41,0,Travel Rarely,802,Sales,9,1,96,Sales Executive,9,7,0,7
134,26,0,Travel Rarely,1355,Human Resources,25,1,61,Human Resources,8,7,5,7
135,36,0,Travel Rarely,216,Research & Development,6,2,84,Manufacturing Director,3,2,0,1
136,51,1,Travel Frequently,1150,Research & Development,8,4,53,Manufacturing Director,4,2,0,3
137,39,0,Travel Rarely,1329,Sales,4,4,47,Sales Executive,15,11,5,9
138,25,0,Travel Rarely,959,Sales,28,3,41,Sales Executive,2,2,2,2
139,30,0,Travel Rarely,1240,Human Resources,9,3,48,Human Resources,11,9,4,7
140,32,1,Travel Rarely,1033,Research & Development,9,3,41,Laboratory Technician,5,4,0,4
141,45,0,Travel Rarely,1316,Research & Development,29,3,83,Research Scientist,6,5,0,3
142,38,0,Travel Rarely,364,Research & Development,3,5,32,Research Scientist,3,2,2,2
143,30,0,Travel Rarely,438,Research & Development,18,3,75,Research Scientist,5,4,0,4
144,32,0,Travel Frequently,689,Sales,9,2,35,Sales Executive,8,7,0,7
145,30,0,Travel Rarely,201,Research & Development,5,3,84,Research Scientist,3,2,2,2
146,30,0,Travel Rarely,1427,Research & Development,2,1,35,Laboratory Technician,5,3,1,2
147,41,0,Travel Frequently,857,Research & Development,10,3,91,Manager,7,6,7,7
148,41,0,Travel Rarely,933,Research & Development,9,4,94,Laboratory Technician,5,0,1,4
149,19,0,Travel Rarely,1181,Research & Development,3,1,79,Laboratory Technician,1,0,0,0
150,40,0,Travel Frequently,1395,Research & Development,26,3,54,Research Scientist,20,7,2,13
151,35,0,Travel Rarely,662,Sales,1,5,94,Sales Executive,10,8,0,6
152,53,0,Travel Rarely,1436,Sales,6,2,34,Sales Representative,7,7,4,5
153,45,0,Travel Rarely,194,Research & Development,9,3,60,Laboratory Technician,17,9,0,15
154,32,0,Travel Frequently,967,Sales,8,3,43,Sales Executive,9,8,3,7
155,29,0,Non-Travel,1496,Research & Development,1,1,41,Manufacturing Director,10,7,0,9
156,51,0,Travel Rarely,1169,Research & Development,7,4,34,Manufacturing Director,1,0,0,0
157,58,0,Travel Rarely,1145,Research & Development,9,3,75,Research Scientist,1,0,0,0
158,40,0,Travel Rarely,630,Sales,4,4,67,Sales Executive,12,11,2,11
159,34,0,Travel Frequently,303,Sales,2,4,75,Sales Representative,4,3,1,2
160,22,0,Travel Rarely,1256,Research & Development,19,1,80,Research Scientist,2,2,2,2
161,27,0,Non-Travel,691,Research & Development,9,3,57,Research Scientist,2,2,2,2
162,28,0,Travel Rarely,440,Research & Development,21,3,42,Research Scientist,5,2,0,2
163,57,0,Travel Rarely,334,Research & Development,24,2,83,Healthcare Representative,5,3,1,4
164,27,0,Non-Travel,1450,Research & Development,3,3,79,Research Scientist,1,1,0,1
165,50,0,Travel Rarely,1452,Research & Development,11,3,53,Manager,5,4,4,4
166,41,0,Travel Rarely,465,Research & Development,14,3,56,Research Scientist,9,8,1,8
167,30,0,Travel Rarely,1339,Sales,5,3,41,Sales Executive,10,9,7,4
168,38,0,Travel Rarely,702,Sales,1,4,59,Sales Executive,8,3,0,7
169,32,0,Travel Rarely,120,Research & Development,6,5,43,Research Scientist,5,4,1,4
170,27,0,Travel Rarely,1157,Research & Development,17,3,51,Research Scientist,5,2,1,1
171,19,1,Travel Frequently,602,Sales,1,1,100,Sales Representative,0,0,0,0
172,36,0,Travel Frequently,1480,Research & Development,3,2,30,Laboratory Technician,8,7,7,2
173,30,0,Non-Travel,111,Research & Development,9,3,66,Laboratory Technician,12,9,6,10
174,45,0,Travel Rarely,1268,Sales,4,2,30,Sales Executive,5,4,0,3
175,56,0,Travel Rarely,713,Research & Development,8,3,67,Research Scientist,2,2,2,2
176,33,0,Travel Rarely,134,Research & Development,2,3,90,Research Scientist,3,1,0,2
177,19,1,Travel Rarely,303,Research & Development,2,3,47,Laboratory Technician,1,0,1,0
178,46,0,Travel Rarely,526,Sales,1,2,92,Sales Executive,24,13,15,7
179,38,0,Travel Rarely,1380,Research & Development,9,2,75,Laboratory Technician,2,2,2,1
180,31,0,Travel Rarely,140,Research & Development,12,1,95,Research Scientist,4,2,0,2
181,34,0,Travel Rarely,629,Research & Development,27,2,95,Research Scientist,3,2,1,2
182,41,1,Travel Rarely,1356,Sales,20,2,70,Sales Representative,4,3,0,2
183,50,0,Travel Rarely,328,Research & Development,1,3,86,Laboratory Technician,3,2,0,2
184,53,0,Travel Rarely,1084,Research & Development,13,2,57,Manufacturing Director,4,2,1,3
185,33,0,Travel Rarely,931,Research & Development,14,3,72,Research Scientist,8,7,1,6
186,40,0,Travel Rarely,989,Research & Development,4,1,46,Manager,20,8,9,9
187,55,0,Travel Rarely,692,Research & Development,14,4,61,Research Director,24,15,2,15
188,34,0,Travel Frequently,1069,Research & Development,2,1,45,Manufacturing Director,10,9,1,9
189,51,0,Travel Rarely,313,Research & Development,3,3,98,Healthcare Representative,7,7,1,0
190,52,0,Travel Rarely,699,Research & Development,1,4,65,Manager,33,18,11,9
191,27,0,Travel Rarely,894,Research & Development,9,3,99,Research Scientist,7,7,0,3
192,35,1,Travel Rarely,556,Research & Development,23,2,50,Manufacturing Director,1,0,0,1
193,43,0,Non-Travel,1344,Research & Development,7,3,37,Research Scientist,5,4,2,2
194,45,0,Non-Travel,1195,Research & Development,2,2,65,Manager,20,8,11,8
195,37,0,Travel Rarely,290,Research & Development,21,3,65,Research Scientist,8,7,1,7
196,35,0,Travel Frequently,138,Research & Development,2,3,37,Laboratory Technician,6,2,1,2
197,42,0,Non-Travel,926,Research & Development,21,2,36,Manufacturing Director,5,3,0,2
198,38,0,Travel Rarely,1261,Research & Development,2,4,88,Manufacturing Director,1,0,0,0
199,38,0,Travel Rarely,1084,Research & Development,29,3,54,Manufacturing Director,7,7,1,7
200,27,0,Travel Frequently,472,Research & Development,1,1,60,Manufacturing Director,2,2,2,0
201,49,0,Non-Travel,1002,Research & Development,18,4,92,Manufacturing Director,7,7,1,7
202,34,0,Travel Frequently,878,Research & Development,10,4,43,Research Scientist,5,3,2,0
203,40,0,Travel Rarely,905,Research & Development,19,2,99,Laboratory Technician,7,2,3,7
204,38,1,Travel Rarely,1180,Research & Development,29,1,70,Healthcare Representative,1,0,0,0
205,29,1,Travel Rarely,121,Sales,27,3,35,Sales Executive,10,4,1,9
206,22,0,Travel Rarely,1136,Research & Development,5,3,60,Research Scientist,4,2,2,2
207,36,0,Travel Frequently,635,Research & Development,18,1,73,Laboratory Technician,8,1,1,7
208,40,0,Non-Travel,1151,Research & Development,9,5,63,Healthcare Representative,3,2,0,2
209,46,0,Travel Rarely,644,Research & Development,1,4,97,Healthcare Representative,4,2,0,3
210,32,1,Travel Rarely,1045,Sales,4,4,32,Sales Executive,14,8,9,8
211,30,0,Non-Travel,829,Research & Development,1,1,88,Manufacturing Director,11,8,5,8
212,27,0,Travel Frequently,1242,Sales,20,3,90,Sales Executive,7,7,0,7
213,51,0,Travel Rarely,1469,Research & Development,8,4,81,Research Director,10,9,4,7
214,30,1,Travel Rarely,1005,Research & Development,3,3,88,Research Scientist,5,2,0,4
215,41,0,Travel Rarely,896,Sales,6,3,75,Manager,1,0,0,0
216,30,1,Travel Frequently,334,Sales,26,4,52,Sales Executive,6,3,0,1
217,29,1,Travel Rarely,992,Research & Development,1,3,85,Research Scientist,6,2,1,5
218,45,0,Non-Travel,1052,Sales,6,3,57,Sales Executive,19,7,12,8
219,54,0,Travel Rarely,1147,Sales,3,3,52,Sales Executive,6,2,0,5
220,36,0,Travel Rarely,1396,Research & Development,5,2,62,Laboratory Technician,13,11,3,7
221,33,0,Travel Rarely,147,Research & Development,4,4,47,Research Scientist,3,2,1,1
222,37,0,Travel Frequently,663,Research & Development,11,3,47,Research Director,10,8,0,7
223,38,0,Travel Rarely,119,Sales,3,3,76,Sales Executive,16,10,5,13
224,31,0,Non-Travel,979,Research & Development,1,4,90,Manufacturing Director,5,4,1,4
225,59,0,Travel Rarely,142,Research & Development,3,3,70,Research Scientist,1,0,0,0
226,37,0,Travel Frequently,319,Sales,4,4,41,Sales Representative,9,8,5,8
227,29,0,Travel Frequently,1413,Sales,1,1,42,Sales Executive,11,10,4,1
228,35,0,Travel Frequently,944,Sales,1,3,92,Sales Executive,10,7,0,8
229,29,1,Travel Rarely,896,Research & Development,18,1,86,Research Scientist,4,3,0,1
230,52,0,Travel Rarely,1323,Research & Development,2,3,89,Laboratory Technician,2,2,2,2
231,42,0,Travel Rarely,532,Research & Development,4,2,58,Manager,22,17,11,15
232,59,0,Travel Rarely,818,Human Resources,6,2,52,Human Resources,2,2,2,2
233,50,0,Travel Rarely,854,Sales,1,4,68,Manager,7,0,0,6
234,33,1,Travel Rarely,813,Research & Development,14,3,58,Laboratory Technician,5,4,0,4
235,43,0,Travel Rarely,1034,Sales,16,3,80,Manager,17,13,1,9
236,33,1,Travel Rarely,465,Research & Development,2,2,39,Laboratory Technician,9,7,1,7
237,52,0,Non-Travel,771,Sales,2,4,79,Manager,33,7,15,12
238,32,0,Travel Rarely,1401,Sales,4,2,56,Sales Representative,4,3,1,2
239,32,1,Travel Rarely,515,Research & Development,1,3,62,Laboratory Technician,3,2,1,2
240,39,0,Travel Rarely,1431,Research & Development,1,4,96,Laboratory Technician,3,2,1,2
241,32,0,Non-Travel,976,Sales,26,4,100,Sales Executive,3,2,2,2
242,41,0,Travel Rarely,1411,Research & Development,19,2,36,Research Scientist,1,0,0,0
243,40,0,Travel Rarely,1300,Research & Development,24,2,62,Research Scientist,9,8,4,7
244,45,0,Travel Rarely,252,Research & Development,1,3,70,Manager,24,0,1,7
245,31,0,Travel Frequently,1327,Research & Development,3,4,73,Research Director,2,2,2,2
246,33,0,Travel Rarely,832,Research & Development,5,4,63,Research Scientist,2,2,0,2
247,34,0,Travel Rarely,470,Research & Development,2,4,84,Manufacturing Director,11,9,5,9
248,37,0,Travel Rarely,1017,Research & Development,1,2,83,Research Scientist,3,1,0,2
249,45,0,Travel Frequently,1199,Research & Development,7,4,77,Manufacturing Director,3,2,0,2
250,37,1,Travel Frequently,504,Research & Development,10,3,61,Manufacturing Director,1,0,0,0
251,39,0,Travel Frequently,505,Research & Development,2,4,64,Healthcare Representative,19,6,11,8
252,29,0,Travel Rarely,665,Research & Development,15,3,60,Research Scientist,6,5,1,5
253,42,0,Travel Rarely,916,Research & Development,17,2,82,Research Scientist,3,2,0,2
254,29,0,Travel Rarely,1247,Sales,20,2,45,Sales Executive,3,2,0,2
255,25,0,Travel Rarely,685,Research & Development,1,3,62,Manufacturing Director,4,2,1,2
256,42,0,Travel Rarely,269,Research & Development,2,3,56,Laboratory Technician,9,6,7,8
257,40,0,Travel Rarely,1416,Research & Development,2,2,49,Research Director,21,7,3,9
258,51,0,Travel Rarely,833,Research & Development,1,3,96,Research Scientist,1,0,0,0
259,31,1,Travel Frequently,307,Research & Development,29,2,71,Laboratory Technician,5,4,1,4
260,32,0,Travel Frequently,1311,Research & Development,7,3,100,Laboratory Technician,5,1,0,3
261,38,0,Non-Travel,1327,Sales,2,2,39,Sales Executive,8,7,7,5
262,32,0,Travel Rarely,128,Research & Development,2,1,84,Laboratory Technician,6,2,0,4
263,46,0,Travel Rarely,488,Sales,2,3,75,Manager,7,7,7,7
264,28,1,Travel Rarely,529,Research & Development,2,4,79,Laboratory Technician,0,0,0,0
265,29,0,Travel Rarely,1210,Sales,2,3,78,Sales Executive,0,0,0,0
266,31,0,Travel Rarely,1463,Research & Development,23,3,64,Healthcare Representative,9,0,7,8
267,25,0,Non-Travel,675,Research & Development,5,2,85,Healthcare Representative,6,3,1,5
268,45,0,Travel Rarely,1385,Research & Development,20,2,79,Healthcare Representative,20,7,4,10
269,36,0,Travel Rarely,1403,Research & Development,6,3,47,Laboratory Technician,15,13,10,11
270,55,0,Travel Rarely,452,Research & Development,1,3,81,Manager,36,10,4,13
271,47,1,Non-Travel,666,Research & Development,29,4,88,Manager,10,7,9,9
272,28,0,Travel Rarely,1158,Research & Development,9,3,94,Research Scientist,5,2,0,4
273,37,0,Travel Rarely,228,Sales,6,4,98,Sales Executive,5,4,0,1
274,21,0,Travel Rarely,996,Research & Development,3,2,100,Research Scientist,3,2,1,0
275,37,0,Non-Travel,728,Research & Development,1,4,80,Research Director,5,2,0,2
276,35,0,Travel Rarely,1315,Research & Development,22,3,71,Manager,7,7,6,2
277,38,0,Travel Rarely,322,Sales,7,2,44,Sales Executive,8,0,7,7
278,26,0,Travel Frequently,1479,Research & Development,1,3,84,Manufacturing Director,6,5,1,4
279,50,0,Travel Rarely,797,Research & Development,4,1,96,Research Director,10,4,1,6
280,53,0,Travel Rarely,1070,Research & Development,3,4,45,Research Director,5,3,1,3
281,42,0,Travel Rarely,635,Sales,1,1,99,Sales Executive,20,16,11,6
282,29,0,Travel Frequently,442,Sales,2,2,44,Sales Executive,10,7,0,9
283,55,0,Travel Rarely,147,Research & Development,20,2,37,Laboratory Technician,10,7,0,8
284,26,0,Travel Frequently,496,Research & Development,11,2,60,Healthcare Representative,5,3,3,3
285,37,0,Travel Rarely,1372,Research & Development,1,3,42,Research Scientist,17,12,5,7
286,44,1,Travel Frequently,920,Research & Development,24,3,43,Laboratory Technician,1,0,0,0
287,38,0,Travel Rarely,688,Research & Development,23,4,82,Healthcare Representative,2,2,1,2
288,26,1,Travel Rarely,1449,Research & Development,16,4,45,Laboratory Technician,3,2,0,2
289,28,0,Travel Rarely,1117,Research & Development,8,2,66,Research Scientist,5,3,0,2
290,49,0,Travel Frequently,636,Research & Development,10,4,35,Research Director,3,2,1,2
291,36,0,Travel Rarely,506,Research & Development,3,3,30,Research Scientist,8,0,7,7
292,31,0,Travel Frequently,444,Sales,5,3,84,Sales Representative,2,2,2,2
293,26,1,Travel Rarely,950,Sales,4,4,48,Sales Executive,8,7,7,4
294,37,0,Travel Frequently,889,Research & Development,9,3,53,Research Scientist,4,2,1,2
295,42,0,Travel Frequently,555,Sales,26,3,77,Sales Executive,20,4,4,8
296,18,1,Travel Rarely,230,Research & Development,3,3,54,Laboratory Technician,0,0,0,0
297,35,0,Travel Rarely,1232,Sales,16,3,96,Sales Executive,11,9,6,9
298,36,0,Travel Frequently,566,Research & Development,18,4,81,Laboratory Technician,1,0,0,0
299,51,0,Travel Rarely,1302,Research & Development,2,3,84,Manufacturing Director,4,1,1,2
300,41,0,Travel Rarely,334,Sales,2,4,88,Manager,22,10,0,4
301,18,0,Travel Rarely,812,Sales,10,3,69,Sales Representative,0,0,0,0
302,28,0,Travel Rarely,1476,Research & Development,16,2,68,Healthcare Representative,8,3,0,7
303,31,0,Travel Rarely,218,Sales,7,3,100,Sales Executive,8,7,7,7
304,39,0,Travel Rarely,1132,Research & Development,1,3,48,Healthcare Representative,18,10,3,7
305,36,0,Non-Travel,1105,Research & Development,24,4,47,Laboratory Technician,9,8,0,8
306,32,0,Travel Rarely,906,Sales,7,3,91,Sales Executive,13,8,4,8
307,38,0,Travel Rarely,849,Research & Development,25,2,81,Research Director,10,8,0,1
308,58,0,Non-Travel,390,Research & Development,1,4,32,Healthcare Representative,5,3,1,2
309,31,0,Travel Rarely,691,Research & Development,5,4,86,Research Scientist,5,2,0,3
310,31,0,Travel Rarely,106,Human Resources,2,3,62,Human Resources,2,2,1,0
311,45,0,Travel Frequently,1249,Research & Development,7,3,97,Laboratory Technician,24,9,9,11
312,31,0,Travel Rarely,192,Research & Development,2,4,32,Research Scientist,2,2,2,2
313,33,0,Travel Frequently,553,Research & Development,5,4,74,Manager,10,6,8,8
314,39,0,Travel Rarely,117,Research & Development,10,1,99,Manager,21,9,11,10
315,43,0,Travel Frequently,185,Research & Development,10,4,33,Laboratory Technician,8,7,1,7
316,49,0,Travel Rarely,1091,Research & Development,1,2,90,Healthcare Representative,7,1,0,7
317,52,1,Travel Rarely,723,Research & Development,8,4,85,Research Scientist,8,2,7,7
318,27,0,Travel Rarely,1220,Research & Development,5,3,85,Research Scientist,4,3,1,2
319,32,0,Travel Rarely,588,Sales,8,2,65,Sales Executive,13,12,11,9
